unit_name,unit_idnum,unit_id,action,channel_group,max_dissimilarity,max_depth_delta
1096,0,d74bd8e4-9f38-416a-a901-98b99b875206,133-090720-4,0,0.05,100
1099,1,aca67c3c-7cc3-47f9-8564-812915b83244,133-090720-4,0,0.05,100
1124,2,d89fc49c-f656-4a6c-8f9f-c8566cebd580,133-090720-4,0,0.05,100
1147,3,b4e52e11-de7b-4f79-9007-e24ca974f184,133-090720-4,0,0.05,100
1398,4,7b4257aa-c47c-4b1c-b3c8-4852e0b4e7fe,133-090720-4,0,0.05,100
1401,5,86855b0c-7d9e-4177-a4cf-537a362f4d6f,133-090720-4,0,0.05,100
1423,6,2e810893-89cb-4196-9e7e-97e2aa33d00d,133-090720-4,0,0.05,100
573,7,4bcbb975-344a-47a8-8b32-3a6cf9d05871,133-090720-5,0,0.05,100
61,7,4bcbb975-344a-47a8-8b32-3a6cf9d05871,133-090720-7,0,0.05,100
1487,7,4bcbb975-344a-47a8-8b32-3a6cf9d05871,133-090720-4,0,0.05,100
853,8,58c80339-7a6c-44aa-96fb-41a9400fd78e,133-090720-5,0,0.05,100
1490,8,58c80339-7a6c-44aa-96fb-41a9400fd78e,133-090720-4,0,0.05,100
60,8,58c80339-7a6c-44aa-96fb-41a9400fd78e,133-090720-7,0,0.05,100
1515,9,76acb7d9-8ebc-48b2-b0de-5489c90a9e09,133-090720-4,0,0.05,100
283,9,76acb7d9-8ebc-48b2-b0de-5489c90a9e09,133-090720-7,0,0.05,100
1521,10,e223f72a-2c3d-4a93-abce-baadc8aaee43,133-090720-4,0,0.05,100
1523,11,4d18e7dc-201f-427d-829d-7efd03106077,133-090720-4,0,0.05,100
1538,12,0e05e361-b43c-4ba7-9c27-3e6d3f398d4d,133-090720-4,0,0.05,100
857,12,0e05e361-b43c-4ba7-9c27-3e6d3f398d4d,133-090720-5,0,0.05,100
1623,13,1a609fb4-3469-47ef-b8df-508968cf1bc3,133-090720-4,0,0.05,100
1666,14,392b9988-efd6-4f8e-84bb-d2f083ed2148,133-090720-4,0,0.05,100
1674,15,4ba7d05c-f03c-440b-bee8-933d11febd1d,133-090720-4,0,0.05,100
1684,16,7d7760f6-a54b-42b9-ae6f-a0eb2f1fbe18,133-090720-4,0,0.05,100
1705,17,356f62c8-9a95-4f74-8a85-79897ca98c5f,133-090720-4,0,0.05,100
1706,18,21959ec9-f890-4405-acb5-2b76ccfb71d2,133-090720-4,0,0.05,100
992,18,21959ec9-f890-4405-acb5-2b76ccfb71d2,133-090720-5,0,0.05,100
1710,19,588c674d-a6ec-4285-b1e9-7fc7843fb6e9,133-090720-4,0,0.05,100
149,20,8236bf4f-750b-464b-90a7-dcc5f6c0b6a4,133-090720-7,0,0.05,100
541,20,8236bf4f-750b-464b-90a7-dcc5f6c0b6a4,133-090720-5,0,0.05,100
1724,20,8236bf4f-750b-464b-90a7-dcc5f6c0b6a4,133-090720-4,0,0.05,100
1749,21,be59d8d2-a69b-4289-871e-093cc0d6d361,133-090720-4,0,0.05,100
942,22,64b2f8cf-ce33-4fe3-b454-b089c0f6f4c7,133-090720-4,0,0.05,100
948,23,b5cec738-db20-4a00-b508-a0348df65b70,133-090720-4,0,0.05,100
448,23,b5cec738-db20-4a00-b508-a0348df65b70,133-090720-5,0,0.05,100
993,24,8c03da1b-a079-4ddc-9df6-9a2af73da162,133-090720-4,0,0.05,100
280,25,3a064bad-7aad-4539-99ba-c81a21a01507,133-090720-5,0,0.05,100
433,26,4773f148-c10c-47ba-bb87-73e01065884e,133-090720-5,0,0.05,100
437,27,2284ddba-1d0e-4fbd-9bb0-9948c0badc00,133-090720-5,0,0.05,100
439,28,1b218e6b-1c21-4bbe-9c52-7d4a693c3e38,133-090720-5,0,0.05,100
445,29,935ef987-d601-4fa2-a139-81bf05f2fcf6,133-090720-5,0,0.05,100
500,30,9f2a50f6-713d-4201-8a55-baacb1da31e7,133-090720-5,0,0.05,100
503,31,51866da2-c111-4577-9e42-37f399c1328b,133-090720-5,0,0.05,100
147,31,51866da2-c111-4577-9e42-37f399c1328b,133-090720-7,0,0.05,100
563,32,5a10599f-92b8-4147-a90f-5d06c19a4334,133-090720-5,0,0.05,100
80,33,6bce03f3-7f1b-4a46-bdb8-36490e505eec,133-090720-7,0,0.05,100
567,33,6bce03f3-7f1b-4a46-bdb8-36490e505eec,133-090720-5,0,0.05,100
856,34,08df7509-3b6f-4e9c-9f7a-5166a4c7c306,133-090720-5,0,0.05,100
954,35,552aa280-5d19-491d-933b-d93d2075b4d8,133-090720-5,0,0.05,100
977,36,c2772cdb-7a28-4b6a-98d8-0d613caa6c33,133-090720-5,0,0.05,100
978,37,a26a65dd-c005-4378-b014-5ae2a6ac85ae,133-090720-5,0,0.05,100
991,38,236fa188-b6a3-4ad7-8071-f6d38fa323cf,133-090720-5,0,0.05,100
105,39,57e208a8-f68d-4ee2-b5d9-e14c9508b6b7,133-090720-6,0,0.05,100
564,40,8ad71528-4ef6-4a22-b21b-2f3923577603,133-090720-6,0,0.05,100
574,41,5177f246-ea30-4eca-8d6a-90a8cd90df62,133-090720-6,0,0.05,100
799,42,d3f671c2-9da3-4137-850a-2b2a97dc9691,133-090720-6,0,0.05,100
805,43,79ff48ec-5439-4637-bc93-0be87ae386c6,133-090720-6,0,0.05,100
809,44,406dd3c1-cf11-439d-9c24-3172866eac69,133-090720-6,0,0.05,100
810,45,951e804d-e1ce-4886-b9f2-64bc62795171,133-090720-6,0,0.05,100
110,46,e3872be7-a08d-4671-8458-72aeb329a7cc,133-090720-7,0,0.05,100
124,47,a62c6990-17be-4eed-8f42-05a08c7fcd32,133-090720-7,0,0.05,100
127,48,0445b1f5-ae58-4d36-ac1e-b378fc42bcdb,133-090720-7,0,0.05,100
186,49,7e9b3a84-aeed-40c2-ae57-c0048667d5ff,133-090720-7,0,0.05,100
189,50,59b48d10-c6ad-4948-a970-ce914733608b,133-090720-7,0,0.05,100
196,51,9175bc35-0c74-496a-8683-aceaf6866040,133-090720-7,0,0.05,100
202,52,a529ead3-efa3-490e-83a0-144dd17f8393,133-090720-7,0,0.05,100
206,53,a6feae7a-d347-4ff0-9ea8-1f62a6036e9f,133-090720-7,0,0.05,100
284,54,142bcb2e-96b7-4978-b921-81feac2011e5,133-090720-7,0,0.05,100
76,55,5d40e1c7-de71-41b7-b480-3ff42f219994,133-090720-7,0,0.05,100
78,56,3db1dc67-f101-46d0-a458-1b47f6835585,133-090720-7,0,0.05,100
91,57,ce6cb90f-0fb0-4e5b-b167-0b6142bf1301,133-090720-7,0,0.05,100
95,58,ccdb0ca9-ff31-4d20-89cd-826e62de0131,133-090720-7,0,0.05,100
1457,59,da8f4a9e-ca06-4544-b44a-ad4a5dc717ab,133-090720-4,1,0.05,100
128,60,2f5bc351-4712-4126-9404-70b0e97ce9b9,133-090720-7,1,0.05,100
1590,60,2f5bc351-4712-4126-9404-70b0e97ce9b9,133-090720-4,1,0.05,100
285,60,2f5bc351-4712-4126-9404-70b0e97ce9b9,133-090720-5,1,0.05,100
1603,61,029abf2b-40e9-4e57-a9ed-8c7bd3535899,133-090720-4,1,0.05,100
1777,62,f33caf32-368c-4e0b-b876-43b7436ffa73,133-090720-4,1,0.05,100
1779,63,ea1254e9-0b2f-4e81-8d2e-1113c68b8550,133-090720-4,1,0.05,100
1785,64,0a70689f-7764-4377-8b75-d67ecc6ff7e6,133-090720-4,1,0.05,100
1787,65,8195434e-7656-4f73-b1f6-84f2869a59e5,133-090720-4,1,0.05,100
1795,66,63fef29d-0d00-4979-a709-9a2ef898efad,133-090720-4,1,0.05,100
1799,67,18091926-b0eb-42a2-b2bd-7af03fe9e1bf,133-090720-4,1,0.05,100
1804,68,01129965-ecac-4d1c-a067-106783983d29,133-090720-4,1,0.05,100
1836,69,26447705-25d0-40e6-b092-e7dab91fdf46,133-090720-4,1,0.05,100
1840,70,8e117871-a06b-438b-92f2-103cf910303d,133-090720-4,1,0.05,100
1842,71,0af61bc6-a457-47e6-8285-feaa02645d0b,133-090720-4,1,0.05,100
1845,72,2ee4a492-520a-4873-ae95-36bd27d9975e,133-090720-4,1,0.05,100
1851,73,1b5e7746-5651-4be3-b51b-3cd8a2407e3b,133-090720-4,1,0.05,100
199,74,87c1dbd2-4e31-44e4-8edc-8bd4d9c65a67,133-090720-5,1,0.05,100
638,75,bec2e25b-6464-4dbd-8f70-0970fe4c41ca,133-090720-5,1,0.05,100
659,76,9ebf7fcc-5e57-4fbb-89a6-8d6fb72cd088,133-090720-5,1,0.05,100
661,77,f2ff8457-c8e3-4d20-9f82-7e45c41ec7b8,133-090720-5,1,0.05,100
662,78,0ccb338c-ad8c-4ad6-92a7-d3a562dfd7a8,133-090720-5,1,0.05,100
663,79,b4e05431-c2df-46f1-a849-2221a9611919,133-090720-5,1,0.05,100
676,80,0dfe0995-d8bb-4a07-9676-af24d1fd24e6,133-090720-5,1,0.05,100
840,81,a5e0bd28-412a-4248-988c-49d6bd0dfb6d,133-090720-5,1,0.05,100
858,82,5ba49bdd-79d8-454a-8847-318be4f8689d,133-090720-5,1,0.05,100
859,83,28d48e36-d842-4f11-aeda-666a2c8a8381,133-090720-5,1,0.05,100
860,84,45d01947-e218-4535-8b48-cd71d229bda7,133-090720-5,1,0.05,100
923,85,43c6dedc-fd3e-4dbe-bb2b-8bc5a7386903,133-090720-5,1,0.05,100
933,86,0e285a6b-13c6-434c-82ed-9201d058ec25,133-090720-5,1,0.05,100
259,87,42c1bcfe-8322-4990-b357-f49014fe8059,133-090720-6,1,0.05,100
677,88,e4a98e50-e246-4175-b569-05f9157ff01e,133-090720-6,1,0.05,100
795,89,39d438e5-8b03-44f4-ac97-df0afb9ddaba,133-090720-6,1,0.05,100
136,90,8fee5f2e-aba4-4187-ac28-c5b9b903dd98,133-090720-7,1,0.05,100
145,91,af8ce251-6cab-420a-a22a-6b49c6bdabe4,133-090720-7,1,0.05,100
210,92,b85d77e6-56de-4c26-b61d-56f6621b34c7,133-090720-7,1,0.05,100
220,93,8bd5ca2b-0ee4-441d-a2c3-ce47dc6338e4,133-090720-7,1,0.05,100
237,94,ee9fa921-2752-4459-ab5f-4593893e7522,133-090720-7,1,0.05,100
278,95,d8e0955e-6bcb-4811-aebc-ef552ef9cef3,133-090720-7,1,0.05,100
72,96,11489fa8-f078-48d6-850c-5bc102b6c148,133-090720-7,2,0.05,100
943,96,11489fa8-f078-48d6-850c-5bc102b6c148,133-090720-5,2,0.05,100
1743,96,11489fa8-f078-48d6-850c-5bc102b6c148,133-090720-4,2,0.05,100
924,97,2067af91-15b4-4c77-89ce-20c11be56c5b,133-090720-5,2,0.05,100
1764,97,2067af91-15b4-4c77-89ce-20c11be56c5b,133-090720-4,2,0.05,100
74,97,2067af91-15b4-4c77-89ce-20c11be56c5b,133-090720-7,2,0.05,100
1823,98,7f7ca67f-7a7d-4134-adb1-6a46f314dcec,133-090720-4,2,0.05,100
1832,99,bf420a81-9747-4876-a4fa-082653a97d84,133-090720-4,2,0.05,100
1834,100,c66cb421-fe97-4a9f-9d7b-c9298fd363d8,133-090720-4,2,0.05,100
664,101,9c9db3d6-2796-42ff-a407-c17b1f98de62,133-090720-5,2,0.05,100
682,102,e18a91e8-9f28-4e1b-ac92-53f05d6eac01,133-090720-5,2,0.05,100
735,103,dd204b57-9d67-447b-a7bc-6978d650c819,133-090720-5,2,0.05,100
810,104,c27025b7-8235-4959-90be-f52c418fafd9,133-090720-5,2,0.05,100
848,105,bd3eeb04-8e19-4aac-9530-7da1f1b52232,133-090720-5,2,0.05,100
934,106,93b083e7-656a-425c-88c7-f815a48497f7,133-090720-5,2,0.05,100
940,107,567bf018-5a83-4953-bc72-919fa6d33d91,133-090720-5,2,0.05,100
941,108,9a5c29d8-99b4-47d5-ad3d-ecae61d891a3,133-090720-5,2,0.05,100
942,109,1530c195-3f9d-4e20-9e54-19434d8cb557,133-090720-5,2,0.05,100
246,109,1530c195-3f9d-4e20-9e54-19434d8cb557,133-090720-7,2,0.05,100
964,110,e8ee1868-f41d-4bac-bba0-3b9d804bb7e0,133-090720-5,2,0.05,100
260,111,e153e7ef-9341-4db3-ae9e-a04acf11bfcf,133-090720-6,2,0.05,100
789,112,ee6f2e46-71a1-4ca9-93ef-5fe2692f9a8a,133-090720-6,2,0.05,100
790,113,4a1f7871-7b16-449f-a02a-91ef1fca4be1,133-090720-6,2,0.05,100
222,114,a30b615e-8af9-4316-b82f-b01306108f1d,133-090720-7,2,0.05,100
244,115,48d741d6-ee62-4c8d-b44f-00fa3e43d0ec,133-090720-7,2,0.05,100
254,116,ee9db0a0-017d-4323-8b57-0208d8bc8c7c,133-090720-7,2,0.05,100
38,117,354c4bea-64af-4454-8d48-8516f413deac,133-090720-7,7,0.05,100
42,118,12b5ef8c-e9d4-43e3-aa1d-c354d66a9e20,133-090720-7,7,0.05,100
43,119,18f06e0a-7a46-49d5-a910-e42608e7e0a6,133-090720-7,7,0.05,100
